date,open,high,low,close,volume,fng_value
19/01/2022,42378.23,42589.9,41145.23,41683.21,69390208.62,24
20/01/2022,41733.21,43518.69,40554.14,40736.05,98791137.85,24
21/01/2022,40654.72,41115.58,35423,36495.46,226310029.9,19
22/01/2022,36447.37,36825.98,34000,35091.11,158273966.5,13
23/01/2022,35084.79,36574.47,34624.59,36293.62,91957289.3,11
24/01/2022,36262.21,38050,32950.72,36724.99,232658477.6,13
25/01/2022,36721.59,37552.3,35722.43,36975.91,103299269.9,12
26/01/2022,37006.76,38946,36279.21,36829.32,134911528.7,23
27/01/2022,36824.02,37251,35511.32,37208.36,115488164,20
28/01/2022,37179.62,38022.11,36173.98,37748.36,91375722.67,24
29/01/2022,37713.14,38741.67,37327.79,38192.65,49532388.57,24
30/01/2022,38176.45,38378.88,37372.59,37941.82,26892965.2,29
31/01/2022,37914.1,38776.33,36631.66,38491.92,77335271.36,20
01/02/2022,38483.56,39285,38033.78,38733.04,80329951.29,26
02/02/2022,38768.08,38883.96,36618.36,36923.5,61762204.12,28
03/02/2022,36924.5,37391.74,36264.55,37320.11,60622418.96,20
04/02/2022,37330.75,41760.39,37064.28,41579.57,162226804.7,20
05/02/2022,41608.82,41983.12,40975,41427.72,78391104.96,33
06/02/2022,41422.7,42701.86,41141.81,42420.24,36255548.93,37
07/02/2022,42420.24,44524.18,41682.11,43869.04,114123966.9,45
08/02/2022,43895.6,45501,42701.19,44091.56,114276569.7,48
09/02/2022,44106.95,44865.72,43164,44426.84,72232867.23,54
10/02/2022,44426.24,45850,43209.07,43524.6,117195356.4,50
11/02/2022,43540.15,43969.72,41983.12,42406.19,92037224.26,50
12/02/2022,42392.22,43034,41740.06,42241.11,37693657.26,44
13/02/2022,42232.68,42779.6,41882.54,42077.74,21689212.71,44
14/02/2022,42078.53,42871.68,41575,42540.3,54063893.7,46
15/02/2022,42567.27,44785.66,42469.96,44582.48,79041315.7,46
16/02/2022,44590.75,44590.75,43312.83,43901.48,54957347.5,51
17/02/2022,43901.49,44204.78,40088.88,40556.11,98855127.2,52
18/02/2022,40532.66,40996.31,39450,39996.99,88501936.53,30
19/02/2022,40008.75,40471.27,39587.08,40109.02,27902012.07,25
20/02/2022,40108.62,40151.62,37974.18,38373.9,49253343.77,27
21/02/2022,38384.09,39494.11,36810.72,37076.6,129820762.3,25
22/02/2022,37036.98,38463.88,36368.99,38269.94,91417664.95,20
23/02/2022,38269.94,39303.24,37060.16,37274.18,66283752.07,25
24/02/2022,37253.26,39720,34324.05,38376.88,241883754.8,23
25/02/2022,38360.93,39727.97,38027.61,39231.64,86421489.86,27
26/02/2022,39242.64,40330.99,38600,39146.66,35730099.5,26
27/02/2022,39146.66,39886.92,37015.74,37712.68,64180081.56,26
28/02/2022,37717.1,44256.08,37468.99,43178.98,136472264.5,20
01/03/2022,43221.71,44981.22,42847.85,44443.96,125834060.5,51
02/03/2022,44443.98,45332.38,43350,43936.72,89787184.66,52
03/03/2022,43936.73,44118.53,41832.34,42476.26,95717311.26,39
04/03/2022,42476.25,42540.57,38590.95,39175.56,97690426.28,33
05/03/2022,39170.19,39620.3,38600.3,39416.79,31805858.33,22
06/03/2022,39390.31,39701,38100,38438.89,45910400.57,22
07/03/2022,38404.97,39557.26,37169.52,38016.47,74120594.46,23
08/03/2022,38002.23,39377,37885.05,38753.65,72271860.69,21
09/03/2022,38761.13,42591.68,38667.65,41960.02,83093160.09,22
10/03/2022,41952.13,42053.95,38545.19,39444.45,98857054.31,28
11/03/2022,39433.48,40237.22,38244.76,38729.79,79908207.13,22
12/03/2022,38729.79,39458.58,38653.89,38822.02,37380001.92,22
13/03/2022,38798.68,39312.5,37595.62,37790.54,27884888.65,21
14/03/2022,37763.37,39913.42,37567.19,39665.71,57109407.35,23
15/03/2022,39688.55,39896.13,38142.35,39302.7,64404706.81,21
16/03/2022,39302.8,41693.97,38865.67,41142.76,246325978.4,24
17/03/2022,41142.76,41497.24,40449.06,40963.22,67907255.31,27
18/03/2022,40963.22,42362,40068.88,41794.37,88818184.55,25
19/03/2022,41781.96,42405.01,41553.88,42235.31,41259203.46,28
20/03/2022,42240.43,42324.06,40930.2,41242.14,43772472.05,31
21/03/2022,41293.19,41588.7,40516.86,41043.14,73036188.25,30
22/03/2022,41018.36,43337.41,40901.13,42393.41,100702351.3,26
23/03/2022,42393.62,43021.73,41779.11,42925.41,81846889.99,31
24/03/2022,42912.21,44240,42636.54,44025.99,95681903.07,40
25/03/2022,44025.99,45137.12,43616.88,44320.6,76456207.02,47
26/03/2022,44340.49,44815.31,44101,44535.65,22032863.91,51
27/03/2022,44553.24,46950,44456.9,46864.39,72587733.72,49
28/03/2022,46854.96,48234,46672.25,47152.38,126931276.3,60
29/03/2022,47152.38,48128.87,46941.84,47459.03,81455068.56,56
30/03/2022,47459.03,47721.41,46572.15,47068.08,76605334.37,55
31/03/2022,47086.07,47624.18,45234,45517.27,62493623.49,52
01/04/2022,45522.53,46739.81,44244,46307.81,90449318.82,50
02/04/2022,46306.38,47218.17,45650,45820.28,33188029.73,52
03/04/2022,45820.28,47458.48,45565.64,46401.57,49354043.08,48
04/04/2022,46414.88,46891.17,45124.79,46598.2,69740801.87,52
05/04/2022,46514.43,47201,45342.33,45502.73,51312993.48,53
06/04/2022,45512.95,45548.77,43086.8,43191.59,132751809.3,48
07/04/2022,43172.83,43896.45,42741.52,43454.53,60040141.07,34
08/04/2022,43467.82,43986.09,42120,42290.11,61479021.63,37
09/04/2022,42258.22,42807.63,42131.51,42767.89,22460564.36,30
10/04/2022,42774.85,43450.72,41888.88,42133.85,36345211.16,34
11/04/2022,42159.45,42415.57,39218.15,39524.86,90451820.46,32
12/04/2022,39545.37,40691.01,39273.65,40097.46,84682650.72,20
13/04/2022,40099.51,41557.61,39584.86,41147.74,64333853.18,25
14/04/2022,41159.29,41504.29,39582.53,39961.53,46734762.29,28
15/04/2022,39962.6,40869.99,39788.97,40563.18,30519713.84,22
16/04/2022,40576.41,40701,40014.79,40395.67,14773756.82,28
17/04/2022,40379.81,40602.69,39565.68,39691.27,19250413.55,28
18/04/2022,39660.62,41101,38547.12,40814.6,98815487.51,24
19/04/2022,40814.6,41754.05,40578.58,41505.77,60478506.24,27
20/04/2022,41476.89,42220.04,40893.21,41375.85,56252177.44,27
21/04/2022,41378.77,42978.95,39770,40470.76,87550963.87,27
22/04/2022,40497,40808.66,39197.64,39726.03,84894517.02,26
23/04/2022,39700.55,39983.98,39301,39421.59,15699430.92,24
24/04/2022,39438.51,39944.65,38987,39467.4,26194678.05,24
25/04/2022,39464.67,40602.85,38202.91,40441.11,89781044.73,23
26/04/2022,40452.52,40800,37701,38137.67,110970037.3,27
27/04/2022,38105.68,39494.73,37885.75,39256.05,69444317.79,21
28/04/2022,39254.4,40387,38880.44,39754.2,73227438.53,24
29/04/2022,39753.28,39923.61,38174.27,38593.42,61784173.92,23
30/04/2022,38599.3,38786.95,37597.36,37639.8,27412299.24,20
01/05/2022,37638.78,38672.2,37400,38488.34,48035091.4,22
02/05/2022,38484.46,39153.13,38045.79,38521.01,55243011.22,28
03/05/2022,38506.38,38641.57,37515.83,37729.95,43688342.05,27
04/05/2022,37735.35,40050.19,37665.46,39685.23,91167773.03,21
05/05/2022,39685.23,39840.37,35579.4,36533.93,136517437,27
06/05/2022,36542.41,36648.2,35268.69,36019.22,93453066.84,22
07/05/2022,36019.15,36123.99,34777.85,35463.46,43421353.77,23
08/05/2022,35465.46,35496.55,33710.16,34025.5,90861688.94,18
09/05/2022,34051.2,34224.35,30015,30082,229559401.8,11
10/05/2022,30066.48,32650,29731.03,30999.97,229471149.6,10
11/05/2022,31002.27,32148.15,27757.77,29000,324244616.2,12
12/05/2022,28999.99,30090.7,25401.05,28896.19,479064461,12
13/05/2022,28932.69,30974.6,28686.37,29238.81,175733249,10
14/05/2022,29239.41,30281.49,28561.23,30033.96,87428622.18,9
15/05/2022,30041.16,31411.48,29440.71,31295.03,65252212.44,10
16/05/2022,31275.27,31275.27,29060,29832.45,92862280.02,14
17/05/2022,29847.53,30753.96,29400,30425.36,65229710.12,8
18/05/2022,30423.9,30670,28615.23,28681.26,66487619.18,12
19/05/2022,28681.15,30505.14,28656.46,30290.33,76233940.6,13
20/05/2022,30271.22,30725.56,28690.13,29176.7,68191001.03,13
21/05/2022,29176.7,29621.01,28914.7,29421.05,14428888.6,13
22/05/2022,29400.34,30457.58,29209.03,30264.66,39915883.93,14
23/05/2022,30264.66,30628,28839.29,29081.76,62777354.95,10
24/05/2022,29081.76,29810.38,28632.4,29632.15,44158900.61,12
25/05/2022,29626.53,30189.7,29313.78,29510.15,46133476.3,11
26/05/2022,29511.95,29853.34,28003,29183.06,82734127.54,12
27/05/2022,29183.39,29360.34,28253.57,28589.48,60322144.1,12
28/05/2022,28606.08,29231.9,28498.73,29010.82,20932668.59,13
29/05/2022,29010.82,29561.04,28814.46,29448.94,26774734.77,14
30/05/2022,29454.69,32195.68,29276.15,31731.22,103365995.6,10
31/05/2022,31677.13,32375.81,31181.26,31762.76,51507206.24,16
01/06/2022,31777.06,31962.79,29309.84,29787.4,78334959.54,17
02/06/2022,29791.96,30688.82,29568.13,30437.18,37324832.08,13
03/06/2022,30437.77,30670.07,29232.99,29669.39,34153774.32,10
04/06/2022,29688.17,29948.84,29444.21,29853.51,14102913.37,14
05/06/2022,29834.06,30153.18,29514.96,29888.98,16829376.97,10
06/06/2022,29905.46,31737.31,29868.16,31351.21,78193186.01,13
07/06/2022,31351.1,31536.11,29184.25,31115.82,114266779.3,15
08/06/2022,31108.3,31310.53,29831.85,30185.58,57644569.1,17
09/06/2022,30190.31,30672.56,29920.56,30089.03,28702806.26,11
10/06/2022,30068.53,30333.81,28832.83,29065.66,73982023.91,13
11/06/2022,29065.66,29403.62,28085.75,28390.94,45061965.02,12
12/06/2022,28397.38,28523.06,26500,26585.1,68824396.8,14
13/06/2022,26538.63,26845.63,21910.26,22450.43,283366704.9,11
14/06/2022,22407.53,23288.88,20816.35,22097.3,189524133.9,8
15/06/2022,22077.83,22756,20079.72,22555.27,304079765.5,7
16/06/2022,22563.82,22957.01,20200,20382.88,99654433.99,7
17/06/2022,20387.66,21325.06,20220.16,20440.7,73895119.74,9
18/06/2022,20428.19,20758,17592.78,18956.8,150865518.9,6
19/06/2022,18952.14,20783.48,17930.7,20552.82,104837532.6,6
20/06/2022,20557.2,21036.89,19616.1,20555.44,105096892.2,9
21/06/2022,20555.44,21708.76,20332.07,20712.29,73387125.62,9
22/06/2022,20710.01,20863.44,19743.99,19963.68,84056982.47,11
23/06/2022,19977.24,21204.14,19869.63,21093.42,56486048.92,11
24/06/2022,21102.75,21538.4,20713.77,21215.42,51866868.41,11
25/06/2022,21229.66,21586.67,20890,21486.8,25706477.96,14
26/06/2022,21486.67,21868,20968.85,21028.69,30230993.93,14
27/06/2022,21029.19,21516.85,20491.28,20699.72,34125310.67,12
28/06/2022,20722.27,21178.73,20176,20261.34,41509093.6,10
29/06/2022,20253.88,20398.99,19827,20093.18,32256055.29,13
30/06/2022,20098,20131.06,18595.6,19924.89,97788342.3,11
01/07/2022,19960.61,20895.08,18944.69,19239.47,85117119.1,11
02/07/2022,19263.41,19425.08,18960,19228.25,28438084.09,14
03/07/2022,19232.76,19616.43,18763.96,19294.46,27763502.63,11
04/07/2022,19296.88,20319.88,19032.44,20209.53,40744069.8,14
05/07/2022,20209.02,20720,19281.82,20168.63,58130559.3,19
06/07/2022,20164.65,20648.76,19750.16,20547.45,43013660.58,18
07/07/2022,20546.29,21847.25,20237.58,21643.56,74076633.67,18
08/07/2022,21620.85,22401,21164.07,21584.14,72370489.07,20
09/07/2022,21592.69,21955.18,21311.36,21588.35,18682277.78,24
10/07/2022,21581.98,21593.73,20629.99,20856.08,29175947.03,24
11/07/2022,20851.14,20858.75,19869,19949.71,27551317.04,22
12/07/2022,19948.55,20036.24,19237.42,19321.14,33580736.88,16
13/07/2022,19337.91,20367.88,18905.55,20232.35,64680074.14,15
14/07/2022,20225.24,20880,19608.47,20577.23,52981405.12,18
15/07/2022,20569.17,21186.35,20368.7,20835.39,32958047.66,15
16/07/2022,20823.7,21577,20472.68,21195.49,36893702.19,21
17/07/2022,21198.34,21664.52,20751.08,20801.85,31144603.48,24
18/07/2022,20786.76,22760.04,20757.29,22435.04,96209458.01,20
19/07/2022,22439.63,23800,21578.45,23405.02,109590564.9,30
20/07/2022,23392.04,24280.3,22893.95,23208.53,94056851.94,31
21/07/2022,23217,23430.33,22340.34,23163.34,52522273.23,34
22/07/2022,23166.09,23760.87,22512.42,22682.26,45944819.73,33
23/07/2022,22696.19,23005.68,21944.47,22468.69,22712651.35,31
24/07/2022,22468.7,23006.77,22272.23,22595.81,15392192.04,30
25/07/2022,22589.47,22673.68,21250,21306.56,45356982.38,30
26/07/2022,21314.26,21344.09,20700.13,21259.78,41787755.51,26
27/07/2022,21266.14,23112.9,21047.7,22969.04,68360200.26,28
28/07/2022,22972.22,24198.95,22600,23853.11,82622168.25,32
29/07/2022,23856.91,24445,23438.5,23785.31,60331240.63,39
30/07/2022,23777.85,24676,23523.29,23644.58,41131518.97,42
31/07/2022,23652.53,24190.09,23241,23322.53,37879327.34,39
01/08/2022,23287.38,23511.5,22861,23282.92,30504625.32,33
02/08/2022,23291.67,23468.33,22665.98,23001.52,33156838.72,31
03/08/2022,22997.07,23642.14,22686.12,22835.88,29830396.39,34
04/08/2022,22830.37,23228.77,22400,22615.24,34781476.88,30
05/08/2022,22630.14,23478,22587.94,23326.4,48294043.12,31
06/08/2022,23326.5,23354.54,22919.76,22956.61,15430177.44,31
07/08/2022,22946,23411.55,22855.14,23187.62,16031534.95,30
08/08/2022,23177.72,24246.06,23169.64,23821.68,43951974.33,30
09/08/2022,23811.29,23927.44,22880.22,23164.78,27939311.98,42
10/08/2022,23151.68,24228,22668.57,23964,53952272.6,31
11/08/2022,23961,24921,23867,23959,47060371.31,41
12/08/2022,23957,24459,23615,24407,30723353.83,42
13/08/2022,24421,24900,24301,24456,21800609.03,46
14/08/2022,24459,25053,24161,24320,33096352.41,47
15/08/2022,24324,25212,23782,24110,42553198.83,45
16/08/2022,24103,24250,23673,23867,18181556.07,44
17/08/2022,23866,24448,23176,23340,42350810.49,41
18/08/2022,23348,23593,23103,23201,20624199.53,30
19/08/2022,23192,23202,20785,20841,74161051.54,33
20/08/2022,20840,21368,20769,21146,31196221.46,29
21/08/2022,21150,21778,21070,21514,23036385.71,27
22/08/2022,21517,21530,20901,21411,30596098.06,29
23/08/2022,21404,21672,20899,21520,26623585.81,28
24/08/2022,21523,21892,21142,21372,39017917.01,25
25/08/2022,21364,21813,21319,21571,24482301.16,25
26/08/2022,21550,21870,20119,20250,70512350.4,27
27/08/2022,20242,20376,19766,20045,26516280.87,28
28/08/2022,20044,20159,19526,19557,17275826.76,28
29/08/2022,19571,20415,19557,20302,24901091.33,24
30/08/2022,20300,20575,19552,19819,40859408.65,27
31/08/2022,19836,20490,19822,20059,45557309.92,23
01/09/2022,20049,20202,19573,20128,37068105.26,20
02/09/2022,20133,20440,19762,19959,34021107.65,25
03/09/2022,19950,20053,19667,19840,9016331.972,21
04/09/2022,19840,20025,19586,20007,9372571.415,20
05/09/2022,20014,20051,19634,19794,19318222.08,23
06/09/2022,19799,20181,18669,18789,60443715.96,22
07/09/2022,18808,19456,18540,19276,37516378.07,24
08/09/2022,19301,19454,19023,19322,33991126.2,20
09/09/2022,19327,21610,19303,21371,85683257.48,22
10/09/2022,21371,21814,21125,21672,29374076.38,28
11/09/2022,21663,21871,21360,21835,18437355.89,26
12/09/2022,21836,22485,21565,22401,55935005.71,25
13/09/2022,22396,22781,19862,20177,79236693.79,34
14/09/2022,20175,20526,19623,20233,56529106.28,27
15/09/2022,20226,20432,19500,19691,49849167.77,28
16/09/2022,19704,19887,19330,19802,49790680.41,20
17/09/2022,19802,20187,19757,20114,19053546.21,22
18/09/2022,20116,20116,19343,19419,31257592.44,27
19/09/2022,19418,19679,18271,19538,66785122.58,21
20/09/2022,19535,19634,18717,18878,48030406.03,23
21/09/2022,18877,19902,18157,18466,98478028.82,23
22/09/2022,18458,19541,18368,19403,50584431.26,22
23/09/2022,19411,19491,18533,19294,50032880.14,20
24/09/2022,19291,19309,18817,18921,17445615,24
25/09/2022,18919,19182,18636,18810,18423324.03,24
26/09/2022,18809,19313,18690,19226,60896201.64,21
27/09/2022,19233,20381,18822,19075,84382400.61,20
28/09/2022,19085,19770,18461,19413,74111849.59,20
29/09/2022,19413,19630,18852,19592,35512874.35,22
30/09/2022,19593,20171,19152,19425,46887760.47,21
01/10/2022,19419,19484,19174,19312,7311658.139,20
02/10/2022,19306,19395,18931,19051,9869062.023,24
03/10/2022,19060,19715,18975,19636,21778911.38,24
04/10/2022,19633,20469,19497,20343,49953109.06,20
05/10/2022,20343,20366,19735,20162,36086933.96,25
06/10/2022,20161,20447,19864,19951,28707284.91,26
07/10/2022,19960,20056,19335,19532,25207611.76,23
